latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
20.96784,85.17007,338.09,0.41,0.45,2025-04-10,0707,N20,VIIRS,n,2,304.74,2.73,D,2
20.9253,84.94719,345.68,0.42,0.45,2025-04-10,0707,N20,VIIRS,n,2,300.85,5.76,D,0
20.92378,84.93928,331.66,0.42,0.45,2025-04-10,0707,N20,VIIRS,n,2,300.12,1.49,D,0
20.92942,84.94634,338.96,0.42,0.45,2025-04-10,0707,N20,VIIRS,n,2,300.34,2.77,D,0
20.92866,84.94238,331.81,0.42,0.45,2025-04-10,0707,N20,VIIRS,n,2,300.79,2.77,D,0
20.9279,84.93842,332.22,0.42,0.45,2025-04-10,0707,N20,VIIRS,n,2,300.43,2.05,D,0
20.80993,84.32869,335.81,0.46,0.47,2025-04-10,0707,N20,VIIRS,l,2,306.39,4.32,D,0
20.97193,85.12489,331.99,0.41,0.45,2025-04-10,0707,N20,VIIRS,l,2,303.19,1.73,D,0
19.91233,79.99703,332.77,0.46,0.63,2025-04-10,0707,N20,VIIRS,l,2,305.49,1.93,D,0
20.97818,85.13558,335.76,0.41,0.45,2025-04-10,0707,N20,VIIRS,n,2,303.79,5.81,D,2
19.84757,79.65385,331.23,0.48,0.65,2025-04-10,0707,N20,VIIRS,l,2,303.7,1.84,D,0
19.80628,79.22027,333.33,0.51,0.66,2025-04-10,0707,N20,VIIRS,l,2,305.03,1.43,D,0
19.96724,79.72913,333.8,0.47,0.64,2025-04-10,0707,N20,VIIRS,l,2,304.16,1.86,D,0
20.04884,80.06709,334.8,0.45,0.63,2025-04-10,0707,N20,VIIRS,n,2,304.17,2.11,D,0
21.07803,85.04161,332.35,0.41,0.45,2025-04-10,0707,N20,VIIRS,l,2,304.02,5.95,D,2
21.07729,85.03768,334.64,0.41,0.45,2025-04-10,0707,N20,VIIRS,n,2,304.18,5.97,D,2
20.05449,80.06572,331.37,0.45,0.63,2025-04-10,0707,N20,VIIRS,l,2,304.23,2.11,D,0
20.78278,83.45116,336.97,0.53,0.5,2025-04-10,0707,N20,VIIRS,n,2,303.57,4.67,D,0
19.80335,78.83937,331.84,0.54,0.68,2025-04-10,0707,N20,VIIRS,n,2,301.18,2.73,D,0
20.83926,83.64197,334.84,0.51,0.49,2025-04-10,0707,N20,VIIRS,n,2,301.53,2.53,D,0
20.06257,79.80267,332.62,0.47,0.64,2025-04-10,0707,N20,VIIRS,l,2,304.08,4.27,D,0
20.84436,83.52454,337.8,0.52,0.5,2025-04-10,0707,N20,VIIRS,n,2,301.18,5,D,0
