latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
67.99999,157.9537,367.0,0.51,0.41,2025-07-31,35,N20,VIIRS,h,2.0NRT,347.63,178.16,D
68.00046,157.84843,367.0,0.51,0.41,2025-07-31,35,N20,VIIRS,l,2.0NRT,325.56,49.08,D
68.00056,157.93806,367.0,0.51,0.41,2025-07-31,35,N20,VIIRS,h,2.0NRT,312.84,28.54,D
68.00165,157.90662,348.54,0.51,0.41,2025-07-31,35,N20,VIIRS,n,2.0NRT,310.01,24.04,D
68.00206,157.89034,367.0,0.51,0.41,2025-07-31,35,N20,VIIRS,h,2.0NRT,320.86,11.94,D
68.00251,157.87424,355.68,0.51,0.41,2025-07-31,35,N20,VIIRS,n,2.0NRT,318.96,23.24,D
68.00259,157.96371,367.0,0.51,0.41,2025-07-31,35,N20,VIIRS,h,2.0NRT,351.98,413.81,D
68.00304,157.85843,355.85,0.51,0.41,2025-07-31,35,N20,VIIRS,n,2.0NRT,318.24,49.08,D
68.00314,157.948,367.0,0.51,0.41,2025-07-31,35,N20,VIIRS,h,2.0NRT,322.68,28.54,D
68.00433,157.91699,349.29,0.51,0.41,2025-07-31,35,N20,VIIRS,n,2.0NRT,320.78,24.04,D
68.00475,157.90074,367.0,0.51,0.41,2025-07-31,35,N20,VIIRS,h,2.0NRT,316.33,24.04,D
68.00517,157.88451,367.0,0.51,0.41,2025-07-31,35,N20,VIIRS,h,2.0NRT,319.4,23.24,D
68.00563,157.86844,356.22,0.51,0.41,2025-07-31,35,N20,VIIRS,n,2.0NRT,318.2,23.24,D
68.00572,157.95801,367.0,0.51,0.41,2025-07-31,35,N20,VIIRS,l,2.0NRT,328.22,190.08,D
68.00619,157.85272,353.46,0.51,0.41,2025-07-31,35,N20,VIIRS,n,2.0NRT,311.42,38.5,D
68.00629,157.94235,354.29,0.51,0.41,2025-07-31,35,N20,VIIRS,n,2.0NRT,317.54,28.54,D
68.00692,157.92697,343.3,0.51,0.41,2025-07-31,35,N20,VIIRS,n,2.0NRT,310.42,134.54,D
68.00743,157.91106,355.17,0.51,0.41,2025-07-31,35,N20,VIIRS,n,2.0NRT,317.18,24.04,D
68.00784,157.89479,367.0,0.51,0.41,2025-07-31,35,N20,VIIRS,h,2.0NRT,322.94,30.65,D
68.00828,157.87865,356.17,0.51,0.41,2025-07-31,35,N20,VIIRS,n,2.0NRT,325.49,23.24,D
68.00832,157.96805,367.0,0.5,0.41,2025-07-31,35,N20,VIIRS,l,2.0NRT,350.04,190.08,D
68.0088,157.86281,352.49,0.51,0.41,2025-07-31,35,N20,VIIRS,n,2.0NRT,324.22,71.59,D
68.00887,157.95232,367.0,0.51,0.41,2025-07-31,35,N20,VIIRS,h,2.0NRT,318.97,190.08,D
68.01006,157.92123,367.0,0.51,0.41,2025-07-31,35,N20,VIIRS,h,2.0NRT,339.75,134.54,D
68.0105,157.90506,355.63,0.51,0.41,2025-07-31,35,N20,VIIRS,n,2.0NRT,326.99,30.65,D
68.01091,157.97809,340.5,0.5,0.41,2025-07-31,35,N20,VIIRS,n,2.0NRT,298.69,92.42,D
68.01093,157.8889,355.85,0.51,0.41,2025-07-31,35,N20,VIIRS,n,2.0NRT,322.14,30.65,D
68.01141,157.87291,356.08,0.51,0.41,2025-07-31,35,N20,VIIRS,n,2.0NRT,323.25,71.59,D
68.01194,157.8571,352.27,0.51,0.41,2025-07-31,35,N20,VIIRS,n,2.0NRT,301.33,71.59,D
68.012,157.94664,352.0,0.51,0.41,2025-07-31,35,N20,VIIRS,l,2.0NRT,326.5,45.34,D
68.01312,157.91527,353.49,0.51,0.41,2025-07-31,35,N20,VIIRS,l,2.0NRT,329.14,64.0,D
68.01358,157.89915,352.94,0.51,0.41,2025-07-31,35,N20,VIIRS,l,2.0NRT,332.6,30.65,D
68.01402,157.88303,352.64,0.51,0.41,2025-07-31,35,N20,VIIRS,n,2.0NRT,324.25,246.51,D
68.01406,157.9724,338.69,0.5,0.41,2025-07-31,35,N20,VIIRS,l,2.0NRT,311.92,92.42,D
68.01455,157.8672,367.0,0.51,0.41,2025-07-31,35,N20,VIIRS,h,2.0NRT,333.71,71.59,D
68.0146,157.95663,355.24,0.5,0.41,2025-07-31,35,N20,VIIRS,n,2.0NRT,322.73,45.34,D
68.01514,157.9409,351.39,0.51,0.41,2025-07-31,35,N20,VIIRS,n,2.0NRT,299.5,45.34,D
68.01572,157.92528,367.0,0.51,0.41,2025-07-31,35,N20,VIIRS,h,2.0NRT,342.6,64.0,D
68.01617,157.90919,352.49,0.51,0.41,2025-07-31,35,N20,VIIRS,l,2.0NRT,334.44,64.0,D
68.01668,157.89326,354.16,0.51,0.41,2025-07-31,35,N20,VIIRS,n,2.0NRT,325.25,246.51,D
